Name,Country,Rating,Reviews,Hourly Rate,Skills
Constantin S.,United States,4.6,4,$25,Computer Security; Web Security; Internet Security; Certified Ethical Hacking; Web Development
Nour E.,Egypt,1.5,2,$50,Python; Article Writing; Report Writing; Research Writing; Technical Writing
A.K.M. Tohidur R.,Bangladesh,0.0,0,$60,Network Administration; System Admin; Linux; Computer Security; Cisco
Shelina Ramzan Ali K.,Canada,0.0,0,$30,Website Design; HTML; PHP; Graphic Design; WordPress
HashOne Creatives,Pakistan,0.0,0,$40,Website Design; Graphic Design; PHP; HTML; Logo Design
Muhammad Anas K.,Pakistan,0.0,0,$40,Social Media Marketing; PHP; Website Design; Marketing; Internet Marketing
Muhammad A.,Pakistan,0.0,0,$15,Data Processing; eCommerce;  Artificial Intelligence;Frontend Development; Full Stack Development
TRM Solutions,Pakistan,0.0,0,$20,PHP; Android; Mobile App Development; iPhone; Python
Techno Exponent,India,0.0,0,$35,PHP; Website Design; HTML; Graphic Design; MySQL
Adnan Gohar,Pakistan,0.0,0,$25,Unreal Engine; Python; C# Programming; Unity 3D; Business Analysis
Mike N.,Portugal,0.0,0,$20,Web Scraping; HTML; Android; Game Development; iPhone
Derek L.,United States,0.0,0,$80,HTML; CSS; PHP; WordPress; JavaScript
Muhammad U.,Pakistan,0.0,0,$40,Network Administration; System Admin; Azure; Windows Server; Linux
Fernando Javier M.,Spain,0.0,0,$30,System Admin; Linux; PHP; Network Administration; Amazon Web Services
Shadab Ahmed K.,India,0.0,0,$25,Amazon Web Services; Linux; Cloud Computing; DevOps; Web Hosting
John M.,India,0.0,0,$30,Computer Security; Powershell; Python; Raspberry Pi; Automation
Nainesh Ashokbhai D.,India,0.0,0,$10,Android; Flutter; Mobile App Development; Dart; iPhone
Ahmed S.,Egypt,0.0,0,$30,Computer Security; Linux; Web Security; Internet Security; Network Administration
Chetna R.,India,0.0,0,$10,Selenium; AI (Artificial Intelligence) HW/SW; Android; Android SDK; Angular
Gonzalo,Spain,3.0,1,$30,Certified Ethical Hacking; Certified Information Systems Security Professional (CISSP); Cloud Security; Computer Security; Web Security
Dusan R.,Serbia,0.0,0,$30,AngularJS; Express JS; JavaScript; Node.js; NoSQL Couch & Mongo
Raphael A.,Brazil,0.0,0,$45,Database Programming; Java; MySQL; PHP; Acting
Felix Kebaya M.,Kenya,0.0,0,$25,Ghostwriting; Content Writing; Article Writing; Copywriting; WordPress
Joseph V.,United States,0.0,0,$50,HTML; JavaScript; PHP; React.js; Website Design
Threat A.,Saudi Arabia,0.0,0,$15,Certified Ethical Hacking; Cloud Computing; Cloud Security; Compliance; Computer Security
Paul O.,Nigeria,0.0,0,$5,Python; Android; Apache; API Development; API Integration
Gery T.,United States,0.0,0,$30,C Programming; C# Programming; C++ Programming; Certified Ethical Hacking; Coding
Arch M.,Kenya,0.0,0,$40,Amazon Web Services; Certified Ethical Hacking
